post_id,title,lead_quote,gist,draft_started,published_date,status,publication,path,tags,notes,chart_path,image_path
1,Back to Basics: The 14 Leadership Principles I Learned as a Young Soldier,NA,NA,2026-07-24,NA,published,substack,posts/2026/2026-07-24-back-to-basics-the-14-leadership-principles-i-learned-as-a-young-soldier,category1; category2,NA,NA,featured-image.png
2,"Security, Stability, and the Projection of Soft Power: The Strategic Criticality of USAID",NA,NA,NA,NA,scheduled,unassigned,NA,NA,NA,NA,NA
3,Competitive Rejuvenation and the the Darien Gap Selection Course,NA,NA,NA,NA,published,substack,NA,NA,NA,NA,NA
4,An Antiquated 'Maginot Line' Approach to Foreign Policy,NA,NA,2026-07-25,NA,unassigned,unassigned,posts/2026/2026-07-25-an-antiquated-maginot-line-approach-to-foreign-policy,Immigration,NA,NA,featured-image.png
5,"Why Trump Hates the Military, the College-Educated, and the Hard Working",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
6,National Self Reflection and Patriotism: Why they go together,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
7,"Moral Courage, Integrity, and the Story of Hugh Thompson and his Crew",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
8,What is Liberalism?,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
9,Gen X: Who's going to take care of you?,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
10,Integrity vs. Loyalty and The Normalization of Situational Ethics,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
11,Exploring the Debate: Is Artificial Intelligence an Existential Threat?,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
12,The Pickpocket of DC,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
13,Why Are Colombian Eggs Cheaper Than American Eggs Despite Bird Flu Impact? Exploring the Real Cost Disparities,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
14,We need to move with ultimate urgency,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
15,Hubristic cyclicality,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
16,The worlds needs a 100 year climate plan,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
17,Why I Quit Flying the American Flag,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
18,Are We Creating the Right Leaders to take us to the 22nd Century?,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
19,The Criticality of Critical Thinking,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
20,Hey St Clair\! Do you really want to go back to the 60's?,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
21,Smoke and Mirrors: Woke and Fears,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
22,The List,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
23,"From NASA to Musk, the Twilight of American Greatness",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
24,Teddy Roosevelt and the Big Stick,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
25,Sister Cities and reinvigorating humanism expand on the sister cities ideas,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
26,The Lack of Role Models for Young Men in America,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
27,Religions are the roadblock to an advancing anthro-inclusive society,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
28,Intellectual Inbreeding: When social media and echo chambers converge,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
29,Corruption Central: The American rejection of decades of Decency,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
30,"The Real Enemy: MAGA, Billionaires, and those Aspiring to be.",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
31,"Forget going back to the 1960's, we're going back to the 1600's.",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
