post_id,title,lead_quote,gist,draft_started,published_date,status,publication,path,tags,notes,chart_path,image_path
1,Back to Basics: The 14 Leadership Principles I Learned as a Young Soldier,,,2026-07-24,,published,substack,posts/2026/2026-07-24-back-to-basics-the-14-leadership-principles-i-learned-as-a-young-soldier,category1; category2,,,featured-image.png
2,"Security, Stability, and the Projection of Soft Power: The Strategic Criticality of USAID",,,,,scheduled,unassigned,,,,,
3,Competitive Rejuvenation and the the Darien Gap Selection Course,,,,,published,substack,,,,,
4,An Antiquated 'Maginot Line' Approach to Foreign Policy,,,2026-07-25,,unassigned,unassigned,posts/2026/2026-07-25-an-antiquated-maginot-line-approach-to-foreign-policy,Immigration,,,featured-image.png
5,"Why Trump Hates the Military, the College-Educated, and the Hard Working",,,,,unassigned,unassigned,,,,,
6,National Self Reflection and Patriotism: Why they go together,,,,,unassigned,unassigned,,,,,
7,"Moral Courage, Integrity, and the Story of Hugh Thompson and his Crew",,,,,drafting,unassigned,,,,,
8,What is Liberalism?,,,,,unassigned,unassigned,,,,,
9,Gen X: Who's going to take care of you?,,,,,unassigned,unassigned,,,,,
10,Integrity vs. Loyalty and The Normalization of Situational Ethics,,,,,drafting,unassigned,,,,,
15,Hubristic cyclicality,,,,,unassigned,unassigned,,,,,
16,The worlds needs a 100 year climate plan,,,,,unassigned,unassigned,,,,,
17,Why I Quit Flying the American Flag,,,,,unassigned,unassigned,,,,,
18,Are We Creating the Right Leaders to take us to the 22nd Century?,,,,,unassigned,unassigned,,,,,
19,The Criticality of Critical Thinking,,,,,unassigned,unassigned,,,,,
20,Hey St Clair\! Do you really want to go back to the 60's?,,,,,unassigned,unassigned,,,,,
23,"From NASA to Musk, the Twilight of American Greatness",,,,,unassigned,unassigned,,,,,
24,Teddy Roosevelt and the Big Stick,,,,,unassigned,unassigned,,,,,
25,Sister Cities and reinvigorating humanism expand on the sister cities ideas,,,,,unassigned,unassigned,,,,,
26,The Lack of Role Models for Young Men in America,,,,,unassigned,unassigned,,,,,
27,Religions are the roadblock to an advancing anthro-inclusive society,,,,,unassigned,unassigned,,,,,
28,Intellectual Inbreeding: When social media and echo chambers converge,,,,,unassigned,unassigned,,,,,
29,Corruption Central: The American rejection of decades of Decency,,,,,unassigned,unassigned,,,,,
30,"The Real Enemy: MAGA, Billionaires, and those Aspiring to be.",,,,,unassigned,unassigned,,,,,
31,"Forget going back to the 1960's, we're going back to the 1600's.",,,,,unassigned,unassigned,,,,,
32,The Brits still get it right: From Monty Python to Philomena Cunk,,,,,unassigned,unassigned,,,,,
33,Charlie Kirk: MAGA's Horst Wessel,,,,,unassigned,unassigned,,,,,
34,"America Needs a ""Holiday Inn"" Plan",,,,,unassigned,unassigned,,,,,
35,"Transparency, the core of Democracy",,,,,unassigned,unassigned,,,,,
36,"Doctor Strangebelief, or How I Confirmed My Instincts and Learned to Embrace Atheism",,,,,unassigned,unassigned,,,,,
37,The Title of Leader has to be Earned Every Day,,,,,unassigned,unassigned,,,,,
38,Trumps Underhanded Paths to Retain Power,,,,,unassigned,unassigned,,,,,
39,Trump's Antithesis of the Teddy Roosevelt Doctrine: Speak Loudly and Carry a twig.,,,,,unassigned,unassigned,,,,,
40,Trumps 1960's country-club approach to immigration,,,,,unassigned,unassigned,,,,,
41,Failing even the first rung of competency,,,,,unassigned,unassigned,,,,,
42,Honest speaking out is the epitome of patriotism,,,,,unassigned,unassigned,,,,,
43,The PDF proves the absurdity of Religion,,,,,unassigned,unassigned,,,,,
44,"The world is burning, but for some reason we're off to the moon again.",,,,,unassigned,unassigned,,,,,
45,The cowards of the climate community.,,,,,unassigned,unassigned,,,,,
46,"Mommy, who's in the box?",,,,,unassigned,unassigned,,,,,
47,Anthropogenic Inertia,,,,,unassigned,unassigned,,,,,
48,Rooftops are for more than Solar,,,,,unassigned,unassigned,,,,,
49,Chokepoints and Diplomacy,,,,,unassigned,unassigned,,,,,
50,May 2026 US jobs report: stronger than expected but misleading,,,,,unassigned,unassigned,,,,,
51,What’s the ROI for our past decades of defense spending,,,,,unassigned,unassigned,,,,,
52,Who’s your hero: The leadership report card for the current administration,,,,,unassigned,unassigned,,,,,
54,An Antiquated 'Maginot Line' Approach to Foreign Policy,,,2026-07-25,,idea,unassigned,posts/2026/2026-07-25-an-antiquated-maginot-line-approach-to-foreign-policy,,,,
55,Trump inadvertently helped promote renewables worldwide,,"Trump's war in Iran, which was completely not thought through at all, is having an unintended but positive impact on renewable adoption around the globe. From EV's to solar panels, people around the world are actively trying to insulate themselves from the volatility now, and certainly extending into the future,",2026-07-29,,editing,unassigned,posts/2026/2026-07-29-trump-inadvertently-helped-promote-renewables-worldwide,Leadership & Ethics; Geopolitics; Immigration; Economics; Saving Democracy; Science & Technology; Global Environment; Future,,,images/featured-image.png
